"GENERA","N_NT_MISMATCH_SPACER","COUNT","TOTAL","PROP","COUNT_PHAST","COUNT_SPACER","COUNT_HIT","N_MM0","N_MM7","N_PHAST","N_SPACER","N_HIT","N_PROPHAGE_MISMATCH","ANY_MATCH","TOTAL_SHUFFLED","N_GENOME","N_GENOME_PHAST","PROP_GENOME_PHAST","SD_GENOME_PHAST"
"Blautia",2,0,2,0,17,598,4,0,2,17,598,4,2,2,0,155,2,0.0129032258064516,0.00906490309904593
"Blautia",0,0,2,0,17,598,4,0,2,17,598,4,2,2,0,155,2,0.0129032258064516,0.00906490309904593
"Blautia",4,1,2,0.5,17,598,4,0,2,17,598,4,2,2,0,155,2,0.0129032258064516,0.00906490309904593
"Blautia",3,0,2,0,17,598,4,0,2,17,598,4,2,2,0,155,2,0.0129032258064516,0.00906490309904593
"Blautia",5,1,2,0.5,17,598,4,0,2,17,598,4,2,2,0,155,2,0.0129032258064516,0.00906490309904593
"Bordetella",4,2,3,0.666666666666667,69,162,4,0,3,69,162,4,2,2,0,1115,24,0.02152466367713,0.00434615984619921
"Bordetella",1,0,3,0,69,162,4,0,3,69,162,4,2,2,48,1115,24,0.02152466367713,0.00434615984619921
"Bordetella",0,0,3,0,69,162,4,0,3,69,162,4,2,2,21,1115,24,0.02152466367713,0.00434615984619921
"Bordetella",2,0,3,0,69,162,4,0,3,69,162,4,2,2,33,1115,24,0.02152466367713,0.00434615984619921
"Bordetella",3,1,3,0.333333333333333,69,162,4,0,3,69,162,4,2,2,0,1115,24,0.02152466367713,0.00434615984619921
"Bordetella",5,0,3,0,69,162,4,0,3,69,162,4,2,2,0,1115,24,0.02152466367713,0.00434615984619921
"Burkholderia",2,12,224,0.0535714285714286,492,702,516,5,219,492,702,516,170,170,0,1425,167,0.11719298245614,0.00852071932220761
"Burkholderia",3,47,224,0.209821428571429,492,702,516,5,219,492,702,516,170,170,0,1425,167,0.11719298245614,0.00852071932220761
"Burkholderia",5,61,224,0.272321428571429,492,702,516,5,219,492,702,516,170,170,1,1425,167,0.11719298245614,0.00852071932220761
"Burkholderia",1,18,224,0.0803571428571429,492,702,516,5,219,492,702,516,170,170,0,1425,167,0.11719298245614,0.00852071932220761
"Burkholderia",4,81,224,0.361607142857143,492,702,516,5,219,492,702,516,170,170,1,1425,167,0.11719298245614,0.00852071932220761
"Burkholderia",0,5,224,0.0223214285714286,492,702,516,5,219,492,702,516,170,170,0,1425,167,0.11719298245614,0.00852071932220761
"Campylobacter",2,88,346,0.254335260115607,53,3607,466,78,268,53,3607,466,32,32,0,30888,32,0.00103600103600104,0.000183045947835117
"Campylobacter",5,26,346,0.0751445086705202,53,3607,466,78,268,53,3607,466,32,32,12,30888,32,0.00103600103600104,0.000183045947835117
"Campylobacter",1,62,346,0.179190751445087,53,3607,466,78,268,53,3607,466,32,32,1,30888,32,0.00103600103600104,0.000183045947835117
"Campylobacter",0,78,346,0.225433526011561,53,3607,466,78,268,53,3607,466,32,32,0,30888,32,0.00103600103600104,0.000183045947835117
"Campylobacter",3,40,346,0.115606936416185,53,3607,466,78,268,53,3607,466,32,32,0,30888,32,0.00103600103600104,0.000183045947835117
"Campylobacter",4,52,346,0.15028901734104,53,3607,466,78,268,53,3607,466,32,32,0,30888,32,0.00103600103600104,0.000183045947835117
"Carnobacterium",4,2,11,0.181818181818182,17,284,11,0,11,17,284,11,10,10,0,92,3,0.0326086956521739,0.018517139128984
"Carnobacterium",5,2,11,0.181818181818182,17,284,11,0,11,17,284,11,10,10,8,92,3,0.0326086956521739,0.018517139128984
"Carnobacterium",3,1,11,0.0909090909090909,17,284,11,0,11,17,284,11,10,10,0,92,3,0.0326086956521739,0.018517139128984
"Carnobacterium",2,4,11,0.363636363636364,17,284,11,0,11,17,284,11,10,10,0,92,3,0.0326086956521739,0.018517139128984
"Carnobacterium",0,0,11,0,17,284,11,0,11,17,284,11,10,10,0,92,3,0.0326086956521739,0.018517139128984
"Carnobacterium",1,2,11,0.181818181818182,17,284,11,0,11,17,284,11,10,10,0,92,3,0.0326086956521739,0.018517139128984
"Citrobacter",1,5,14,0.357142857142857,58,460,25,3,11,58,460,25,14,14,0,374,15,0.0401069518716578,0.0101457802249138
"Citrobacter",5,0,14,0,58,460,25,3,11,58,460,25,14,14,1,374,15,0.0401069518716578,0.0101457802249138
"Citrobacter",0,3,14,0.214285714285714,58,460,25,3,11,58,460,25,14,14,0,374,15,0.0401069518716578,0.0101457802249138
"Citrobacter",2,0,14,0,58,460,25,3,11,58,460,25,14,14,0,374,15,0.0401069518716578,0.0101457802249138
"Citrobacter",3,3,14,0.214285714285714,58,460,25,3,11,58,460,25,14,14,3,374,15,0.0401069518716578,0.0101457802249138
"Citrobacter",4,3,14,0.214285714285714,58,460,25,3,11,58,460,25,14,14,0,374,15,0.0401069518716578,0.0101457802249138
"Clostridium",2,301,2223,0.13540260908682,710,12819,3713,447,1776,710,12819,3713,385,387,0,947,214,0.2259767687434,0.0135904521399476
"Clostridium",4,382,2223,0.171839856050382,710,12819,3713,447,1776,710,12819,3713,385,387,7,947,214,0.2259767687434,0.0135904521399476
"Clostridium",1,279,2223,0.125506072874494,710,12819,3713,447,1776,710,12819,3713,385,387,1,947,214,0.2259767687434,0.0135904521399476
"Clostridium",5,489,2223,0.219973009446694,710,12819,3713,447,1776,710,12819,3713,385,387,0,947,214,0.2259767687434,0.0135904521399476
"Clostridium",3,325,2223,0.146198830409357,710,12819,3713,447,1776,710,12819,3713,385,387,0,947,214,0.2259767687434,0.0135904521399476
"Clostridium",0,447,2223,0.201079622132254,710,12819,3713,447,1776,710,12819,3713,385,387,0,947,214,0.2259767687434,0.0135904521399476
"Collinsella",4,0,2,0,13,215,3,0,2,13,215,3,2,2,0,117,3,0.0256410256410256,0.0146128275942754
"Collinsella",1,0,2,0,13,215,3,0,2,13,215,3,2,2,0,117,3,0.0256410256410256,0.0146128275942754
"Collinsella",3,1,2,0.5,13,215,3,0,2,13,215,3,2,2,0,117,3,0.0256410256410256,0.0146128275942754
"Collinsella",5,1,2,0.5,13,215,3,0,2,13,215,3,2,2,0,117,3,0.0256410256410256,0.0146128275942754
"Collinsella",2,0,2,0,13,215,3,0,2,13,215,3,2,2,0,117,3,0.0256410256410256,0.0146128275942754
"Collinsella",0,0,2,0,13,215,3,0,2,13,215,3,2,2,0,117,3,0.0256410256410256,0.0146128275942754
"Comamonas",2,0,3,0,25,250,3,0,3,25,250,3,2,2,1,63,4,0.0634920634920635,0.0307216952878331
"Comamonas",0,0,3,0,25,250,3,0,3,25,250,3,2,2,1,63,4,0.0634920634920635,0.0307216952878331
"Comamonas",1,0,3,0,25,250,3,0,3,25,250,3,2,2,21,63,4,0.0634920634920635,0.0307216952878331
"Comamonas",4,1,3,0.333333333333333,25,250,3,0,3,25,250,3,2,2,0,63,4,0.0634920634920635,0.0307216952878331
"Comamonas",3,1,3,0.333333333333333,25,250,3,0,3,25,250,3,2,2,55,63,4,0.0634920634920635,0.0307216952878331
"Comamonas",5,1,3,0.333333333333333,25,250,3,0,3,25,250,3,2,2,0,63,4,0.0634920634920635,0.0307216952878331
"Corynebacterium",2,139,900,0.154444444444444,82,7014,1021,247,653,82,7014,1021,40,41,0,847,51,0.0602125147579693,0.00817365883373005
"Corynebacterium",3,140,900,0.155555555555556,82,7014,1021,247,653,82,7014,1021,40,41,0,847,51,0.0602125147579693,0.00817365883373005
"Corynebacterium",0,247,900,0.274444444444444,82,7014,1021,247,653,82,7014,1021,40,41,0,847,51,0.0602125147579693,0.00817365883373005
"Corynebacterium",4,110,900,0.122222222222222,82,7014,1021,247,653,82,7014,1021,40,41,0,847,51,0.0602125147579693,0.00817365883373005
"Corynebacterium",1,142,900,0.157777777777778,82,7014,1021,247,653,82,7014,1021,40,41,1,847,51,0.0602125147579693,0.00817365883373005
"Corynebacterium",5,122,900,0.135555555555556,82,7014,1021,247,653,82,7014,1021,40,41,10,847,51,0.0602125147579693,0.00817365883373005
"Cronobacter",3,32,161,0.198757763975155,38,913,189,27,134,38,913,189,13,13,0,457,15,0.0328227571115974,0.00833455590659479
"Cronobacter",4,27,161,0.167701863354037,38,913,189,27,134,38,913,189,13,13,1,457,15,0.0328227571115974,0.00833455590659479
"Cronobacter",5,26,161,0.161490683229814,38,913,189,27,134,38,913,189,13,13,1,457,15,0.0328227571115974,0.00833455590659479
"Cronobacter",1,34,161,0.211180124223602,38,913,189,27,134,38,913,189,13,13,2,457,15,0.0328227571115974,0.00833455590659479
"Cronobacter",0,27,161,0.167701863354037,38,913,189,27,134,38,913,189,13,13,0,457,15,0.0328227571115974,0.00833455590659479
"Cronobacter",2,15,161,0.093167701863354,38,913,189,27,134,38,913,189,13,13,0,457,15,0.0328227571115974,0.00833455590659479
"Dehalococcoides",0,0,3,0,68,204,5,0,3,68,204,5,1,1,0,35,6,0.171428571428571,0.0637048588249034
"Dehalococcoides",4,0,3,0,68,204,5,0,3,68,204,5,1,1,0,35,6,0.171428571428571,0.0637048588249034
"Dehalococcoides",1,0,3,0,68,204,5,0,3,68,204,5,1,1,8,35,6,0.171428571428571,0.0637048588249034
"Dehalococcoides",3,1,3,0.333333333333333,68,204,5,0,3,68,204,5,1,1,0,35,6,0.171428571428571,0.0637048588249034
"Dehalococcoides",2,0,3,0,68,204,5,0,3,68,204,5,1,1,0,35,6,0.171428571428571,0.0637048588249034
"Dehalococcoides",5,2,3,0.666666666666667,68,204,5,0,3,68,204,5,1,1,71,35,6,0.171428571428571,0.0637048588249034
"Desulfitobacterium",1,1,13,0.0769230769230769,15,600,39,7,6,15,600,39,8,8,0,12,5,0.416666666666667,0.142318760638328
"Desulfitobacterium",2,0,13,0,15,600,39,7,6,15,600,39,8,8,0,12,5,0.416666666666667,0.142318760638328
"Desulfitobacterium",0,7,13,0.538461538461538,15,600,39,7,6,15,600,39,8,8,0,12,5,0.416666666666667,0.142318760638328
"Desulfitobacterium",4,0,13,0,15,600,39,7,6,15,600,39,8,8,82,12,5,0.416666666666667,0.142318760638328
"Desulfitobacterium",5,3,13,0.230769230769231,15,600,39,7,6,15,600,39,8,8,5,12,5,0.416666666666667,0.142318760638328
"Desulfitobacterium",3,2,13,0.153846153846154,15,600,39,7,6,15,600,39,8,8,0,12,5,0.416666666666667,0.142318760638328
"Desulfosporosinus",1,0,1,0,14,142,1,0,1,14,142,1,1,1,0,29,5,0.172413793103448,0.0701445003745666
"Desulfosporosinus",0,0,1,0,14,142,1,0,1,14,142,1,1,1,0,29,5,0.172413793103448,0.0701445003745666
"Desulfosporosinus",3,0,1,0,14,142,1,0,1,14,142,1,1,1,0,29,5,0.172413793103448,0.0701445003745666
"Desulfosporosinus",4,0,1,0,14,142,1,0,1,14,142,1,1,1,0,29,5,0.172413793103448,0.0701445003745666
"Desulfosporosinus",5,1,1,1,14,142,1,0,1,14,142,1,1,1,0,29,5,0.172413793103448,0.0701445003745666
"Desulfosporosinus",2,0,1,0,14,142,1,0,1,14,142,1,1,1,0,29,5,0.172413793103448,0.0701445003745666
"Desulfotomaculum",0,0,2,0,40,2333,14,0,2,40,2333,14,8,8,1,18,8,0.444444444444444,0.117121394821051
"Desulfotomaculum",1,1,2,0.5,40,2333,14,0,2,40,2333,14,8,8,0,18,8,0.444444444444444,0.117121394821051
"Desulfotomaculum",4,0,2,0,40,2333,14,0,2,40,2333,14,8,8,0,18,8,0.444444444444444,0.117121394821051
"Desulfotomaculum",2,0,2,0,40,2333,14,0,2,40,2333,14,8,8,2,18,8,0.444444444444444,0.117121394821051
"Desulfotomaculum",5,0,2,0,40,2333,14,0,2,40,2333,14,8,8,0,18,8,0.444444444444444,0.117121394821051
"Desulfotomaculum",3,1,2,0.5,40,2333,14,0,2,40,2333,14,8,8,0,18,8,0.444444444444444,0.117121394821051
"Desulfovibrio",3,3,32,0.09375,106,1365,86,2,30,106,1365,86,34,35,26,81,24,0.296296296296296,0.0507359177199093
"Desulfovibrio",1,5,32,0.15625,106,1365,86,2,30,106,1365,86,34,35,0,81,24,0.296296296296296,0.0507359177199093
"Desulfovibrio",5,10,32,0.3125,106,1365,86,2,30,106,1365,86,34,35,0,81,24,0.296296296296296,0.0507359177199093
"Desulfovibrio",2,5,32,0.15625,106,1365,86,2,30,106,1365,86,34,35,1,81,24,0.296296296296296,0.0507359177199093
"Desulfovibrio",0,2,32,0.0625,106,1365,86,2,30,106,1365,86,34,35,0,81,24,0.296296296296296,0.0507359177199093
"Desulfovibrio",4,7,32,0.21875,106,1365,86,2,30,106,1365,86,34,35,0,81,24,0.296296296296296,0.0507359177199093
"Dickeya",0,10,31,0.32258064516129,21,1931,41,10,21,21,1931,41,9,9,0,68,8,0.117647058823529,0.0390712449502983
"Dickeya",4,2,31,0.0645161290322581,21,1931,41,10,21,21,1931,41,9,9,0,68,8,0.117647058823529,0.0390712449502983
"Dickeya",5,9,31,0.290322580645161,21,1931,41,10,21,21,1931,41,9,9,0,68,8,0.117647058823529,0.0390712449502983
"Dickeya",2,3,31,0.0967741935483871,21,1931,41,10,21,21,1931,41,9,9,0,68,8,0.117647058823529,0.0390712449502983
"Dickeya",1,5,31,0.161290322580645,21,1931,41,10,21,21,1931,41,9,9,0,68,8,0.117647058823529,0.0390712449502983
"Dickeya",3,2,31,0.0645161290322581,21,1931,41,10,21,21,1931,41,9,9,0,68,8,0.117647058823529,0.0390712449502983
"Edwardsiella",5,2,54,0.037037037037037,34,101,60,13,41,34,101,60,13,14,0,58,14,0.241379310344828,0.0561886199795989
"Edwardsiella",4,13,54,0.240740740740741,34,101,60,13,41,34,101,60,13,14,0,58,14,0.241379310344828,0.0561886199795989
"Edwardsiella",0,13,54,0.240740740740741,34,101,60,13,41,34,101,60,13,14,0,58,14,0.241379310344828,0.0561886199795989
"Edwardsiella",2,8,54,0.148148148148148,34,101,60,13,41,34,101,60,13,14,34,58,14,0.241379310344828,0.0561886199795989
"Edwardsiella",1,11,54,0.203703703703704,34,101,60,13,41,34,101,60,13,14,0,58,14,0.241379310344828,0.0561886199795989
"Edwardsiella",3,7,54,0.12962962962963,34,101,60,13,41,34,101,60,13,14,0,58,14,0.241379310344828,0.0561886199795989
"Enterobacter",3,79,390,0.202564102564103,245,1792,558,32,358,245,1792,558,63,63,48,1660,40,0.0240963855421687,0.00376378988584675
"Enterobacter",2,74,390,0.18974358974359,245,1792,558,32,358,245,1792,558,63,63,0,1660,40,0.0240963855421687,0.00376378988584675
"Enterobacter",5,75,390,0.192307692307692,245,1792,558,32,358,245,1792,558,63,63,0,1660,40,0.0240963855421687,0.00376378988584675
"Enterobacter",4,52,390,0.133333333333333,245,1792,558,32,358,245,1792,558,63,63,0,1660,40,0.0240963855421687,0.00376378988584675
"Enterobacter",0,32,390,0.0820512820512821,245,1792,558,32,358,245,1792,558,63,63,21,1660,40,0.0240963855421687,0.00376378988584675
"Enterobacter",1,78,390,0.2,245,1792,558,32,358,245,1792,558,63,63,33,1660,40,0.0240963855421687,0.00376378988584675
"Enterobacteria",4,20,80,0.25,101,139,2,3,77,101,139,2,21,21,1,2783,72,0.0258713618397413,0.00300927029045699
"Enterobacteria",1,10,80,0.125,101,139,2,3,77,101,139,2,21,21,0,2783,72,0.0258713618397413,0.00300927029045699
"Enterobacteria",3,15,80,0.1875,101,139,2,3,77,101,139,2,21,21,1,2783,72,0.0258713618397413,0.00300927029045699
"Enterobacteria",0,3,80,0.0375,101,139,2,3,77,101,139,2,21,21,1,2783,72,0.0258713618397413,0.00300927029045699
"Enterobacteria",2,9,80,0.1125,101,139,2,3,77,101,139,2,21,21,0,2783,72,0.0258713618397413,0.00300927029045699
"Enterobacteria",5,23,80,0.2875,101,139,2,3,77,101,139,2,21,21,0,2783,72,0.0258713618397413,0.00300927029045699
"Enterococcus",0,656,2649,0.247640619101548,628,2124,3154,656,1993,628,2124,3154,384,392,0,3291,133,0.0404132482528107,0.00343273327522301
"Enterococcus",1,437,2649,0.164967912419781,628,2124,3154,656,1993,628,2124,3154,384,392,12,3291,133,0.0404132482528107,0.00343273327522301
"Enterococcus",5,243,2649,0.0917327293318233,628,2124,3154,656,1993,628,2124,3154,384,392,0,3291,133,0.0404132482528107,0.00343273327522301
"Enterococcus",3,418,2649,0.157795394488486,628,2124,3154,656,1993,628,2124,3154,384,392,0,3291,133,0.0404132482528107,0.00343273327522301
"Enterococcus",4,453,2649,0.171007927519819,628,2124,3154,656,1993,628,2124,3154,384,392,0,3291,133,0.0404132482528107,0.00343273327522301
"Enterococcus",2,442,2649,0.166855417138543,628,2124,3154,656,1993,628,2124,3154,384,392,0,3291,133,0.0404132482528107,0.00343273327522301
"Erwinia",5,7,44,0.159090909090909,49,567,60,6,38,49,567,60,18,18,0,93,21,0.225806451612903,0.0433562261311127
"Erwinia",0,6,44,0.136363636363636,49,567,60,6,38,49,567,60,18,18,0,93,21,0.225806451612903,0.0433562261311127
"Erwinia",1,4,44,0.0909090909090909,49,567,60,6,38,49,567,60,18,18,8,93,21,0.225806451612903,0.0433562261311127
"Erwinia",2,5,44,0.113636363636364,49,567,60,6,38,49,567,60,18,18,0,93,21,0.225806451612903,0.0433562261311127
"Erwinia",3,9,44,0.204545454545455,49,567,60,6,38,49,567,60,18,18,0,93,21,0.225806451612903,0.0433562261311127
"Erwinia",4,13,44,0.295454545454545,49,567,60,6,38,49,567,60,18,18,0,93,21,0.225806451612903,0.0433562261311127
"Escherichia",0,2229,9657,0.230817023920472,4017,4374,12747,2229,7428,4017,4374,12747,2493,2551,0,18475,567,0.0306901217861976,0.00126893215227913
"Escherichia",5,1736,9657,0.179765972869421,4017,4374,12747,2229,7428,4017,4374,12747,2493,2551,0,18475,567,0.0306901217861976,0.00126893215227913
"Escherichia",1,1705,9657,0.176555866211039,4017,4374,12747,2229,7428,4017,4374,12747,2493,2551,1,18475,567,0.0306901217861976,0.00126893215227913
"Escherichia",2,1425,9657,0.147561354457906,4017,4374,12747,2229,7428,4017,4374,12747,2493,2551,3,18475,567,0.0306901217861976,0.00126893215227913
"Escherichia",3,1083,9657,0.112146629388009,4017,4374,12747,2229,7428,4017,4374,12747,2493,2551,0,18475,567,0.0306901217861976,0.00126893215227913
"Escherichia",4,1479,9657,0.153153153153153,4017,4374,12747,2229,7428,4017,4374,12747,2493,2551,0,18475,567,0.0306901217861976,0.00126893215227913
"Eubacterium",1,11,24,0.458333333333333,69,986,45,6,18,69,986,45,17,17,7,120,15,0.125,0.030190368221228
"Eubacterium",2,0,24,0,69,986,45,6,18,69,986,45,17,17,0,120,15,0.125,0.030190368221228
"Eubacterium",3,0,24,0,69,986,45,6,18,69,986,45,17,17,0,120,15,0.125,0.030190368221228
"Eubacterium",4,2,24,0.0833333333333333,69,986,45,6,18,69,986,45,17,17,1,120,15,0.125,0.030190368221228
"Eubacterium",5,5,24,0.208333333333333,69,986,45,6,18,69,986,45,17,17,0,120,15,0.125,0.030190368221228
"Eubacterium",0,6,24,0.25,69,986,45,6,18,69,986,45,17,17,0,120,15,0.125,0.030190368221228
"Faecalibacterium",0,0,4,0,15,351,6,0,4,15,351,6,4,4,0,68,3,0.0441176470588235,0.0249031300527418
"Faecalibacterium",1,1,4,0.25,15,351,6,0,4,15,351,6,4,4,0,68,3,0.0441176470588235,0.0249031300527418
"Faecalibacterium",2,0,4,0,15,351,6,0,4,15,351,6,4,4,0,68,3,0.0441176470588235,0.0249031300527418
"Faecalibacterium",5,0,4,0,15,351,6,0,4,15,351,6,4,4,0,68,3,0.0441176470588235,0.0249031300527418
"Faecalibacterium",3,1,4,0.25,15,351,6,0,4,15,351,6,4,4,0,68,3,0.0441176470588235,0.0249031300527418
"Faecalibacterium",4,2,4,0.5,15,351,6,0,4,15,351,6,4,4,0,68,3,0.0441176470588235,0.0249031300527418
"Finegoldia",3,1,7,0.142857142857143,19,314,15,1,6,19,314,15,2,2,1,19,6,0.315789473684211,0.106639205290416
"Finegoldia",0,1,7,0.142857142857143,19,314,15,1,6,19,314,15,2,2,1,19,6,0.315789473684211,0.106639205290416
"Finegoldia",4,1,7,0.142857142857143,19,314,15,1,6,19,314,15,2,2,21,19,6,0.315789473684211,0.106639205290416
"Finegoldia",5,1,7,0.142857142857143,19,314,15,1,6,19,314,15,2,2,0,19,6,0.315789473684211,0.106639205290416
"Finegoldia",1,0,7,0,19,314,15,1,6,19,314,15,2,2,55,19,6,0.315789473684211,0.106639205290416
"Finegoldia",2,3,7,0.428571428571429,19,314,15,1,6,19,314,15,2,2,0,19,6,0.315789473684211,0.106639205290416
"Frankia",1,0,1,0,21,982,32,0,1,21,982,32,13,13,0,49,5,0.102040816326531,0.043243139866447
"Frankia",0,0,1,0,21,982,32,0,1,21,982,32,13,13,0,49,5,0.102040816326531,0.043243139866447
"Frankia",5,1,1,1,21,982,32,0,1,21,982,32,13,13,1,49,5,0.102040816326531,0.043243139866447
"Frankia",4,0,1,0,21,982,32,0,1,21,982,32,13,13,10,49,5,0.102040816326531,0.043243139866447
"Frankia",2,0,1,0,21,982,32,0,1,21,982,32,13,13,0,49,5,0.102040816326531,0.043243139866447
"Frankia",3,0,1,0,21,982,32,0,1,21,982,32,13,13,0,49,5,0.102040816326531,0.043243139866447
"Fusobacterium",3,130,707,0.183875530410184,95,2142,1259,129,578,95,2142,1259,60,60,0,165,22,0.133333333333333,0.0264638753839399
"Fusobacterium",5,118,707,0.166902404526167,95,2142,1259,129,578,95,2142,1259,60,60,1,165,22,0.133333333333333,0.0264638753839399
"Fusobacterium",2,115,707,0.162659123055163,95,2142,1259,129,578,95,2142,1259,60,60,1,165,22,0.133333333333333,0.0264638753839399
"Fusobacterium",0,129,707,0.182461103253182,95,2142,1259,129,578,95,2142,1259,60,60,2,165,22,0.133333333333333,0.0264638753839399
"Fusobacterium",1,98,707,0.138613861386139,95,2142,1259,129,578,95,2142,1259,60,60,0,165,22,0.133333333333333,0.0264638753839399
"Fusobacterium",4,117,707,0.165487977369165,95,2142,1259,129,578,95,2142,1259,60,60,71,165,22,0.133333333333333,0.0264638753839399
"Geobacillus",1,69,412,0.16747572815534,26,3034,686,107,305,26,3034,686,16,16,0,93,24,0.258064516129032,0.0453738617433724
"Geobacillus",0,107,412,0.259708737864078,26,3034,686,107,305,26,3034,686,16,16,0,93,24,0.258064516129032,0.0453738617433724
"Geobacillus",4,72,412,0.174757281553398,26,3034,686,107,305,26,3034,686,16,16,8,93,24,0.258064516129032,0.0453738617433724
"Geobacillus",2,46,412,0.111650485436893,26,3034,686,107,305,26,3034,686,16,16,0,93,24,0.258064516129032,0.0453738617433724
"Geobacillus",3,56,412,0.135922330097087,26,3034,686,107,305,26,3034,686,16,16,0,93,24,0.258064516129032,0.0453738617433724
"Geobacillus",5,62,412,0.150485436893204,26,3034,686,107,305,26,3034,686,16,16,0,93,24,0.258064516129032,0.0453738617433724
"Gluconacetobacter",0,3,5,0.6,64,128,6,3,2,64,128,6,2,2,0,2783,14,0.00503054257994969,0.00134108308930722
"Gluconacetobacter",4,1,5,0.2,64,128,6,3,2,64,128,6,2,2,0,2783,14,0.00503054257994969,0.00134108308930722
"Gluconacetobacter",5,0,5,0,64,128,6,3,2,64,128,6,2,2,82,2783,14,0.00503054257994969,0.00134108308930722
"Gluconacetobacter",1,1,5,0.2,64,128,6,3,2,64,128,6,2,2,5,2783,14,0.00503054257994969,0.00134108308930722
"Gluconacetobacter",2,0,5,0,64,128,6,3,2,64,128,6,2,2,0,2783,14,0.00503054257994969,0.00134108308930722
"Gluconacetobacter",3,0,5,0,64,128,6,3,2,64,128,6,2,2,0,2783,14,0.00503054257994969,0.00134108308930722
"Gordonia",1,0,2,0,16,437,6,0,2,16,437,6,4,4,0,85,23,0.270588235294118,0.0481871647804967
"Gordonia",5,2,2,1,16,437,6,0,2,16,437,6,4,4,0,85,23,0.270588235294118,0.0481871647804967
"Gordonia",2,0,2,0,16,437,6,0,2,16,437,6,4,4,0,85,23,0.270588235294118,0.0481871647804967
"Gordonia",3,0,2,0,16,437,6,0,2,16,437,6,4,4,0,85,23,0.270588235294118,0.0481871647804967
"Gordonia",0,0,2,0,16,437,6,0,2,16,437,6,4,4,0,85,23,0.270588235294118,0.0481871647804967
"Gordonia",4,0,2,0,16,437,6,0,2,16,437,6,4,4,0,85,23,0.270588235294118,0.0481871647804967
"Haemophilus",2,52,207,0.251207729468599,206,358,265,45,162,206,358,265,77,81,2,826,43,0.0520581113801453,0.00772938674115113
"Haemophilus",1,36,207,0.173913043478261,206,358,265,45,162,206,358,265,77,81,1,826,43,0.0520581113801453,0.00772938674115113
"Haemophilus",0,45,207,0.217391304347826,206,358,265,45,162,206,358,265,77,81,0,826,43,0.0520581113801453,0.00772938674115113
"Haemophilus",3,38,207,0.183574879227053,206,358,265,45,162,206,358,265,77,81,0,826,43,0.0520581113801453,0.00772938674115113
"Haemophilus",4,18,207,0.0869565217391304,206,358,265,45,162,206,358,265,77,81,0,826,43,0.0520581113801453,0.00772938674115113
"Haemophilus",5,18,207,0.0869565217391304,206,358,265,45,162,206,358,265,77,81,1,826,43,0.0520581113801453,0.00772938674115113
"Helicobacter",2,3,4,0.75,94,365,6,0,4,94,365,6,6,6,0,1539,61,0.0396361273554256,0.00497329481480219
"Helicobacter",0,0,4,0,94,365,6,0,4,94,365,6,6,6,0,1539,61,0.0396361273554256,0.00497329481480219
"Helicobacter",3,0,4,0,94,365,6,0,4,94,365,6,6,6,0,1539,61,0.0396361273554256,0.00497329481480219
"Helicobacter",4,0,4,0,94,365,6,0,4,94,365,6,6,6,0,1539,61,0.0396361273554256,0.00497329481480219
"Helicobacter",5,1,4,0.25,94,365,6,0,4,94,365,6,6,6,26,1539,61,0.0396361273554256,0.00497329481480219
"Helicobacter",1,0,4,0,94,365,6,0,4,94,365,6,6,6,0,1539,61,0.0396361273554256,0.00497329481480219
"Klebsiella",1,544,2629,0.206922784328642,292,2661,2932,740,1889,292,2661,2932,148,148,0,8444,70,0.00828990999526291,0.000986718251122246
"Klebsiella",2,428,2629,0.162799543552682,292,2661,2932,740,1889,292,2661,2932,148,148,0,8444,70,0.00828990999526291,0.000986718251122246
"Klebsiella",3,362,2629,0.137694941042221,292,2661,2932,740,1889,292,2661,2932,148,148,0,8444,70,0.00828990999526291,0.000986718251122246
"Klebsiella",0,740,2629,0.281475846329403,292,2661,2932,740,1889,292,2661,2932,148,148,0,8444,70,0.00828990999526291,0.000986718251122246
"Klebsiella",4,319,2629,0.121338912133891,292,2661,2932,740,1889,292,2661,2932,148,148,0,8444,70,0.00828990999526291,0.000986718251122246
"Klebsiella",5,236,2629,0.0897679726131609,292,2661,2932,740,1889,292,2661,2932,148,148,34,8444,70,0.00828990999526291,0.000986718251122246
"Lachnospiraceae",4,1,1,1,57,686,13,0,1,57,686,13,11,11,0,503,11,0.0218687872763419,0.00652119093811095
"Lachnospiraceae",5,0,1,0,57,686,13,0,1,57,686,13,11,11,0,503,11,0.0218687872763419,0.00652119093811095
"Lachnospiraceae",3,0,1,0,57,686,13,0,1,57,686,13,11,11,0,503,11,0.0218687872763419,0.00652119093811095
"Lachnospiraceae",0,0,1,0,57,686,13,0,1,57,686,13,11,11,0,503,11,0.0218687872763419,0.00652119093811095
"Lachnospiraceae",1,0,1,0,57,686,13,0,1,57,686,13,11,11,0,503,11,0.0218687872763419,0.00652119093811095
"Lachnospiraceae",2,0,1,0,57,686,13,0,1,57,686,13,11,11,48,503,11,0.0218687872763419,0.00652119093811095
"Lactobacillus",2,665,3698,0.179826933477555,563,9107,4523,844,2854,563,9107,4523,297,308,0,2310,183,0.0792207792207792,0.00561941776345085
"Lactobacillus",0,844,3698,0.22823147647377,563,9107,4523,844,2854,563,9107,4523,297,308,21,2310,183,0.0792207792207792,0.00561941776345085
