"GENERA","N_NT_MISMATCH_SPACER","COUNT","TOTAL","PROP","COUNT_PHAST","COUNT_SPACER","COUNT_HIT","N_MM0","N_MM7","N_PHAST","N_SPACER","N_HIT","N_PROPHAGE_MISMATCH","ANY_MATCH","TOTAL_SHUFFLED","N_GENOME","N_GENOME_PHAST","PROP_GENOME_PHAST","SD_GENOME_PHAST"
"Shigella",2,5,77,0.0649350649350649,904,430,155,2,75,904,430,155,106,106,0,2547,74,0.0290537887711033,0.0033280090652074
"Shigella",3,11,77,0.142857142857143,904,430,155,2,75,904,430,155,106,106,0,2547,74,0.0290537887711033,0.0033280090652074
"Shigella",5,49,77,0.636363636363636,904,430,155,2,75,904,430,155,106,106,1,2547,74,0.0290537887711033,0.0033280090652074
"Shigella",4,9,77,0.116883116883117,904,430,155,2,75,904,430,155,106,106,1,2547,74,0.0290537887711033,0.0033280090652074
"Shigella",0,2,77,0.025974025974026,904,430,155,2,75,904,430,155,106,106,21,2547,74,0.0290537887711033,0.0033280090652074
"Sphingomonas",0,1,5,0.2,28,350,6,1,4,28,350,6,2,2,0,332,5,0.0150602409638554,0.00668423565886715
"Sphingomonas",1,1,5,0.2,28,350,6,1,4,28,350,6,2,2,55,332,5,0.0150602409638554,0.00668423565886715
"Sphingomonas",2,0,5,0,28,350,6,1,4,28,350,6,2,2,0,332,5,0.0150602409638554,0.00668423565886715
"Sphingomonas",3,2,5,0.4,28,350,6,1,4,28,350,6,2,2,0,332,5,0.0150602409638554,0.00668423565886715
"Sphingomonas",4,1,5,0.2,28,350,6,1,4,28,350,6,2,2,0,332,5,0.0150602409638554,0.00668423565886715
"Sphingomonas",5,0,5,0,28,350,6,1,4,28,350,6,2,2,1,332,5,0.0150602409638554,0.00668423565886715
"Staphylococcus",2,239,1704,0.140258215962441,942,636,2310,167,1537,942,636,2310,487,488,10,12243,400,0.0326717307849383,0.00160667888443563
"Staphylococcus",3,517,1704,0.303403755868545,942,636,2310,167,1537,942,636,2310,487,488,0,12243,400,0.0326717307849383,0.00160667888443563
"Staphylococcus",4,358,1704,0.210093896713615,942,636,2310,167,1537,942,636,2310,487,488,0,12243,400,0.0326717307849383,0.00160667888443563
"Staphylococcus",5,342,1704,0.200704225352113,942,636,2310,167,1537,942,636,2310,487,488,0,12243,400,0.0326717307849383,0.00160667888443563
"Staphylococcus",0,167,1704,0.0980046948356808,942,636,2310,167,1537,942,636,2310,487,488,1,12243,400,0.0326717307849383,0.00160667888443563
"Staphylococcus",1,81,1704,0.0475352112676056,942,636,2310,167,1537,942,636,2310,487,488,1,12243,400,0.0326717307849383,0.00160667888443563
"Stenotrophomonas",2,1,2,0.5,32,104,2,0,2,32,104,2,2,2,2,450,14,0.0311111111111111,0.00818443100262704
"Stenotrophomonas",3,0,2,0,32,104,2,0,2,32,104,2,2,2,0,450,14,0.0311111111111111,0.00818443100262704
"Stenotrophomonas",0,0,2,0,32,104,2,0,2,32,104,2,2,2,71,450,14,0.0311111111111111,0.00818443100262704
"Stenotrophomonas",1,0,2,0,32,104,2,0,2,32,104,2,2,2,0,450,14,0.0311111111111111,0.00818443100262704
"Stenotrophomonas",5,1,2,0.5,32,104,2,0,2,32,104,2,2,2,0,450,14,0.0311111111111111,0.00818443100262704
"Stenotrophomonas",4,0,2,0,32,104,2,0,2,32,104,2,2,2,8,450,14,0.0311111111111111,0.00818443100262704
"Streptococcus",5,3501,22640,0.154637809187279,1329,9467,28228,4219,18421,1329,9467,28228,890,897,0,15956,670,0.0419904738029581,0.00158780910324748
"Streptococcus",1,3272,22640,0.14452296819788,1329,9467,28228,4219,18421,1329,9467,28228,890,897,0,15956,670,0.0419904738029581,0.00158780910324748
"Streptococcus",4,3940,22640,0.174028268551237,1329,9467,28228,4219,18421,1329,9467,28228,890,897,0,15956,670,0.0419904738029581,0.00158780910324748
"Streptococcus",0,4219,22640,0.186351590106007,1329,9467,28228,4219,18421,1329,9467,28228,890,897,0,15956,670,0.0419904738029581,0.00158780910324748
"Streptococcus",2,3662,22640,0.161749116607774,1329,9467,28228,4219,18421,1329,9467,28228,890,897,0,15956,670,0.0419904738029581,0.00158780910324748
"Streptococcus",3,4046,22640,0.178710247349823,1329,9467,28228,4219,18421,1329,9467,28228,890,897,82,15956,670,0.0419904738029581,0.00158780910324748
"Streptomyces",0,18,384,0.046875,136,12757,501,18,366,136,12757,501,69,69,5,1494,58,0.0388219544846051,0.00499764404565744
"Streptomyces",3,93,384,0.2421875,136,12757,501,18,366,136,12757,501,69,69,0,1494,58,0.0388219544846051,0.00499764404565744
"Streptomyces",4,122,384,0.317708333333333,136,12757,501,18,366,136,12757,501,69,69,0,1494,58,0.0388219544846051,0.00499764404565744
"Streptomyces",1,31,384,0.0807291666666667,136,12757,501,18,366,136,12757,501,69,69,0,1494,58,0.0388219544846051,0.00499764404565744
"Streptomyces",2,44,384,0.114583333333333,136,12757,501,18,366,136,12757,501,69,69,0,1494,58,0.0388219544846051,0.00499764404565744
"Streptomyces",5,76,384,0.197916666666667,136,12757,501,18,366,136,12757,501,69,69,0,1494,58,0.0388219544846051,0.00499764404565744
"Synechococcus",5,0,1,0,25,838,1,0,1,25,838,1,1,1,0,122,14,0.114754098360656,0.0288560013461542
"Synechococcus",1,0,1,0,25,838,1,0,1,25,838,1,1,1,0,122,14,0.114754098360656,0.0288560013461542
"Synechococcus",2,0,1,0,25,838,1,0,1,25,838,1,1,1,0,122,14,0.114754098360656,0.0288560013461542
"Synechococcus",0,0,1,0,25,838,1,0,1,25,838,1,1,1,2,122,14,0.114754098360656,0.0288560013461542
"Synechococcus",3,0,1,0,25,838,1,0,1,25,838,1,1,1,1,122,14,0.114754098360656,0.0288560013461542
"Synechococcus",4,1,1,1,25,838,1,0,1,25,838,1,1,1,0,122,14,0.114754098360656,0.0288560013461542
"Thermoanaerobacter",0,6,9,0.666666666666667,29,4006,192,6,3,29,4006,192,3,3,0,23,10,0.434782608695652,0.103366526385575
"Thermoanaerobacter",1,1,9,0.111111111111111,29,4006,192,6,3,29,4006,192,3,3,0,23,10,0.434782608695652,0.103366526385575
"Thermoanaerobacter",4,0,9,0,29,4006,192,6,3,29,4006,192,3,3,1,23,10,0.434782608695652,0.103366526385575
"Thermoanaerobacter",5,1,9,0.111111111111111,29,4006,192,6,3,29,4006,192,3,3,0,23,10,0.434782608695652,0.103366526385575
"Thermoanaerobacter",2,0,9,0,29,4006,192,6,3,29,4006,192,3,3,0,23,10,0.434782608695652,0.103366526385575
"Thermoanaerobacter",3,1,9,0.111111111111111,29,4006,192,6,3,29,4006,192,3,3,0,23,10,0.434782608695652,0.103366526385575
"Vibrio",0,1308,3268,0.400244798041616,408,3813,3586,1308,1960,408,3813,3586,172,175,0,3635,212,0.0583218707015131,0.00388700193868729
"Vibrio",1,749,3268,0.229192166462668,408,3813,3586,1308,1960,408,3813,3586,172,175,26,3635,212,0.0583218707015131,0.00388700193868729
"Vibrio",2,411,3268,0.125764993880049,408,3813,3586,1308,1960,408,3813,3586,172,175,0,3635,212,0.0583218707015131,0.00388700193868729
"Vibrio",3,297,3268,0.0908812729498164,408,3813,3586,1308,1960,408,3813,3586,172,175,0,3635,212,0.0583218707015131,0.00388700193868729
"Vibrio",4,292,3268,0.0893512851897185,408,3813,3586,1308,1960,408,3813,3586,172,175,0,3635,212,0.0583218707015131,0.00388700193868729
"Vibrio",5,211,3268,0.0645654834761322,408,3813,3586,1308,1960,408,3813,3586,172,175,0,3635,212,0.0583218707015131,0.00388700193868729
"Xanthomonas",0,133,1145,0.116157205240175,189,3261,2062,133,1012,189,3261,2062,102,102,0,1345,67,0.049814126394052,0.00593224940916407
"Xanthomonas",1,141,1145,0.123144104803493,189,3261,2062,133,1012,189,3261,2062,102,102,0,1345,67,0.049814126394052,0.00593224940916407
"Xanthomonas",2,181,1145,0.158078602620087,189,3261,2062,133,1012,189,3261,2062,102,102,34,1345,67,0.049814126394052,0.00593224940916407
"Xanthomonas",3,212,1145,0.185152838427948,189,3261,2062,133,1012,189,3261,2062,102,102,0,1345,67,0.049814126394052,0.00593224940916407
"Xanthomonas",4,226,1145,0.197379912663755,189,3261,2062,133,1012,189,3261,2062,102,102,0,1345,67,0.049814126394052,0.00593224940916407
"Xanthomonas",5,252,1145,0.220087336244541,189,3261,2062,133,1012,189,3261,2062,102,102,0,1345,67,0.049814126394052,0.00593224940916407
"Xenorhabdus",0,14,121,0.115702479338843,46,900,190,14,107,46,900,190,19,21,0,47,2,0.0425531914893617,0.029442485362624
"Xenorhabdus",1,13,121,0.107438016528926,46,900,190,14,107,46,900,190,19,21,0,47,2,0.0425531914893617,0.029442485362624
"Xenorhabdus",2,20,121,0.165289256198347,46,900,190,14,107,46,900,190,19,21,48,47,2,0.0425531914893617,0.029442485362624
"Xenorhabdus",3,20,121,0.165289256198347,46,900,190,14,107,46,900,190,19,21,0,47,2,0.0425531914893617,0.029442485362624
"Xenorhabdus",4,28,121,0.231404958677686,46,900,190,14,107,46,900,190,19,21,21,47,2,0.0425531914893617,0.029442485362624
"Xenorhabdus",5,26,121,0.214876033057851,46,900,190,14,107,46,900,190,19,21,33,47,2,0.0425531914893617,0.029442485362624
"Yersinia",0,823,1902,0.432702418506835,361,1775,2052,823,1079,361,1775,2052,108,108,0,820,92,0.11219512195122,0.0110214522836575
"Yersinia",1,315,1902,0.165615141955836,361,1775,2052,823,1079,361,1775,2052,108,108,0,820,92,0.11219512195122,0.0110214522836575
"Yersinia",2,230,1902,0.120925341745531,361,1775,2052,823,1079,361,1775,2052,108,108,1,820,92,0.11219512195122,0.0110214522836575
"Yersinia",3,130,1902,0.0683491062039958,361,1775,2052,823,1079,361,1775,2052,108,108,0,820,92,0.11219512195122,0.0110214522836575
"Yersinia",4,134,1902,0.0704521556256572,361,1775,2052,823,1079,361,1775,2052,108,108,0,820,92,0.11219512195122,0.0110214522836575
"Yersinia",5,270,1902,0.141955835962145,361,1775,2052,823,1079,361,1775,2052,108,108,1,820,92,0.11219512195122,0.0110214522836575
